Discrepancy,Path,PPU
-0.009365848717585834,"['XRP/USDT', 'XRP/USD']","[0.1774, 0.1775]"
-0.009751523269544649,"['BTC/USDT', 'BTC/USD']","[9084.46, 9089.23]"
-0.012917677018934981,"['BTC/BUSD', 'BTC/USD']","[9087.34, 9089.23]"
-0.017610305213516142,"['BTC/USDT', 'BTC/BUSD']","[9084.46, 9082.08]"
-0.02087285870301514,"['BTC/BUSD', 'BTC/USDT']","[9087.34, 9081.99]"
-0.023123447468941905,"['BTC/USD', 'BTC/BUSD']","[9089.48, 9082.08]"
-0.02313045617742837,"['ADA/USDT', 'ADA/USD']","[0.09818, 0.0981]"
-0.02322231456653867,"['BTC/USD', 'BTC/USDT']","[9089.48, 9081.99]"
-0.027196011201628068,"['ADA/USD', 'ADA/USDT']","[0.0982, 0.09808]"
-0.029049844629785326,"['XRP/USD', 'XRP/USDT']","[0.1776, 0.17735]"
-0.043028566414948344,"['VET/USDT', 'VET/USD']","[0.010329, 0.0103]"
-0.10716365769230762,"['VET/USD', 'VET/USDT']","[0.0104, 0.010304]"
